category,j5_meta_category,j5_confidence,j5_rationale,j5_ok,j5_cache_hit
Cinema/Video Cameras for Indie Filmmaking,electronics_other,high,video/cinema cameras fall under cameras in electronics_other,True,True
Clarinet Carry Bags (Bb),toys_hobbies,high,"carry bag for a clarinet, a musical instrument accessory",True,True
Clear Bra Straps (Replacement/Convertible),apparel_clothing,high,replacement/convertible bra straps are a clothing accessory/undergarment component,True,True
Clip-On Guitar Tuner,toys_hobbies,high,guitar tuner is an accessory for musical instruments,True,True
Closet Organization Systems,home_other,high,closet organizers are home storage/decor items,True,True
Clumping Clay Cat Litter,other,high,pet care product not covered by any listed category,True,True
Coach Women's Wallets,apparel_clothing,high,women's wallets are fashion accessories closely tied to apparel,True,False
Cocktail Party Dresses,apparel_clothing,high,cocktail party dresses are garments/clothing,True,True
Coffee Maker,home_kitchen,high,coffee maker is a kitchen appliance,True,True
Coffee Makers,home_kitchen,high,coffee makers are explicitly listed under home_kitchen,True,True
Cold Brew / Iced Coffee Makers,home_kitchen,high,cold brew and iced coffee makers are kitchen appliances,True,False
College Student Backpacks,sports_outdoor,high,backpacks explicitly listed under sports_outdoor category,True,False
Color Inkjet Printer,electronics_other,high,inkjet printer is a consumer electronics peripheral not fitting compute or audio,True,True
Comfort Walking Shoes,apparel_footwear,high,walking shoes are footwear,True,True
Commercial Brush Cutters,sports_outdoor,high,brush cutters are outdoor power tools for land clearing and vegetation management,True,False
Commuter Backpacks,sports_outdoor,high,backpacks explicitly listed under sports_outdoor category,True,True
Compact Digital Cameras for Instagram,electronics_other,high,compact digital cameras are photography hardware,True,True
Compact Everyday Laptops,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,False
Compact Gaming PCs & Gaming Laptops,electronics_other,high,gaming hardware including compact gaming PCs and gaming laptops,True,True
Compact Microwave Oven,home_kitchen,high,microwave oven is a kitchen appliance,True,True
Compact SUV / Crossover,other,high,automotive vehicle category not covered by any defined label,True,True
Compact Wireless Mouse with Dual-Axis Scrolling,electronics_compute,high,wireless mouse is a computer peripheral,True,True
Computer Speakers,electronics_audio,high,computer speakers are audio output devices,True,True
Cordless Stick Vacuum Cleaner,home_other,high,vacuum cleaner is a cleaning tool/appliance for the home,True,False
Cordless Stick Vacuums,home_other,high,cordless stick vacuums are cleaning appliances/tools for the home,True,True
Cotton Bed Quilts (Queen/Full Size),home_other,high,bed quilts are bedding products,True,True
Countertop Ice Makers,home_kitchen,high,countertop ice makers are small kitchen appliances,True,True
Countertop Microwave,home_kitchen,high,countertop microwave is a kitchen appliance,True,False
Countertop Ovens,home_kitchen,high,countertop ovens are kitchen appliances,True,True
Countertop Toaster Ovens with Air Fry,home_kitchen,high,countertop cooking appliance with air fry function,True,True
Covered Cat Litter Boxes,other,high,pet supplies / cat litter boxes do not fit any defined category,True,False
Crappie Fishing Rods,sports_outdoor,high,fishing rods are sporting goods equipment,True,True
Creatine Monohydrate Powder,food_beverage,high,consumable dietary supplement powder,True,True
Cropped Cardigans,apparel_clothing,high,cropped cardigans are garments/knitwear clothing items,True,True
Cross Training Shoes,apparel_footwear,high,cross training shoes are athletic footwear,True,True
Crossbody / Waist Bags for Hiking & Dog Walking,sports_outdoor,high,crossbody and waist bags designed for hiking and outdoor activities,True,True
Crossbody Laptop Bags (15.6 inch),sports_outdoor,high,laptop bags and backpacks fall under sports_outdoor per category rules,True,True
Curl Cream,beauty_personal_care,high,curl cream is a haircare styling product,True,True
Curl Sponges for Men,beauty_personal_care,high,curl sponges are hair styling tools used in personal grooming,True,True
DDR4 3200MHz 32GB (2x16GB) Laptop SO-DIMM RAM Kit,electronics_compute,high,laptop RAM/memory module is a core computing component,True,True
DJ Controllers,toys_hobbies,high,DJ controllers are music/hobby equipment used for mixing and performance,True,True
DVD Players,electronics_other,high,DVD players are consumer electronics entertainment devices,True,True
Decorative Bathroom Wall Outlet Covers,home_other,high,decorative home fixtures/decor items,True,True
Decorative Curtain Tiebacks - Black Nautical Rope,home_other,high,decorative curtain tiebacks are home decor accessories,True,False
Dedicated .22 LR Upper Receivers,sports_outdoor,high,"firearm upper receiver component for .22 LR caliber rifle, sporting/shooting goods",True,True
Designer Shoes for Everyday Wear,apparel_footwear,high,designer shoes are footwear regardless of brand tier,True,True
Designer-Inspired Tote Bags,sports_outdoor,high,tote bags fall under bags and carry accessories grouped with outdoor/sports gear,True,True
Desk Lamp,home_other,high,desk lamp is a home lighting/decor item,True,True
Desk Ring Lights for Live Streaming,electronics_other,high,ring lights are lighting/smart home accessories used for streaming setups,True,False
Desktop CPUs,electronics_compute,high,desktop CPUs are core computing hardware components,True,True
Desktop Computers,electronics_compute,high,desktop computers are explicitly listed under electronics_compute,True,True
Desktop Computers for Office Work,electronics_compute,high,desktop computers are explicitly listed under electronics_compute,True,True
Digital Cameras,electronics_other,high,digital cameras fall under electronics_other alongside cameras,True,False
Digital Milligram Scales,other,high,"precision weighing instrument not fitting electronics, kitchen, or other defined categories",True,True
Digital Nomad Backpacks,sports_outdoor,high,backpacks fall under bags/backpacks in sports_outdoor category,True,True
"Digital Torque Wrench (3/8"" Drive)",sports_outdoor,medium,"torque wrench is a hand tool used in mechanical/DIY work, closest to sporting/outdoor equipment category",True,True
Disc Golf Midrange Discs,sports_outdoor,high,disc golf equipment is a sporting good,True,True
Dishwasher Pods,home_kitchen,high,dishwasher cleaning pods are household kitchen consumables/supplies,True,True
Dog Hair Brushes for Thick/Double Coats,other,high,"pet grooming tool for dogs, no fitting category above",True,True
Dog Harnesses for Large Breeds,other,high,pet accessories do not fit any defined category,True,True
Double Running Strollers,baby_kids,high,double running strollers are baby/toddler transport products,True,True
Drawing Tablets,electronics_compute,high,drawing tablets are input devices used with computers,True,True
Drip Coffee Maker,home_kitchen,high,drip coffee maker is a kitchen appliance,True,True
Drip Coffee Maker with Thermal Carafe,home_kitchen,high,drip coffee maker is a kitchen appliance,True,True
Drip Coffee Makers,home_kitchen,high,drip coffee makers are kitchen appliances,True,True
Drip Coffee Makers with Programmable Timer,home_kitchen,high,drip coffee makers are kitchen appliances,True,True
Dual-Brew Coffee Makers (Pod & Carafe),home_kitchen,high,coffee makers are explicitly listed under home_kitchen,True,False
"Electric Bikes Under $1,000",sports_outdoor,high,electric bikes are sporting/outdoor vehicles,True,True
Electric Can Opener,home_kitchen,high,electric can opener is a kitchen appliance,True,True
Electric Coffee Percolator,home_kitchen,high,electric coffee percolator is a kitchen appliance for brewing coffee,True,True
Electric Commuter Bikes,sports_outdoor,high,electric commuter bikes are personal transportation/cycling gear fitting sports and outdoor category,True,True
Electric Guitars,toys_hobbies,high,musical instruments fall under hobbies category,True,True
Electric Kettle,home_kitchen,high,electric kettle is a kitchen appliance,True,True
Electric Off-Road Hunting E-Bikes,sports_outdoor,high,electric hunting bikes are outdoor/sporting goods equipment,True,True
Electric Scooters,sports_outdoor,medium,electric scooters are personal mobility/outdoor vehicles closest to sports and outdoor gear,True,True
Electric Stand Mixers,home_kitchen,high,stand mixers are kitchen appliances,True,True
Electric Tankless Water Heaters,home_kitchen,high,home appliance for water heating,True,True
Electric Toothbrush,beauty_personal_care,high,electric toothbrush is a personal care hygiene device,True,True
Electric Wheelchair,other,high,mobility/medical equipment not covered by any listed category,True,True
Electronic Drum Sets,toys_hobbies,high,electronic drum sets are musical instruments,True,True
Enameled Cast Iron Dutch Oven,home_kitchen,high,Dutch oven is cookware used in the kitchen,True,False
Energy Drinks (Sugar-Free),food_beverage,high,consumable beverage product,True,True
Espresso & Multi-Beverage Coffee Makers,home_kitchen,high,coffee makers are explicitly listed under home_kitchen,True,True
Espresso Machine,home_kitchen,high,espresso machines are kitchen appliances,True,True
Espresso Machines,home_kitchen,high,espresso machines are kitchen appliances,True,True
Espresso Machines with Built-in Grinder,home_kitchen,high,espresso machines are kitchen appliances,True,True
Espresso Makers,home_kitchen,high,espresso makers are kitchen appliances,True,True
Everyday Casual Shoes,apparel_footwear,high,casual shoes are footwear,True,True
Everyday Fashion Backpacks,sports_outdoor,high,backpacks fall under the bags/backpacks classification in sports_outdoor,True,True
"Expandable Dining Tables (Seats 4, Expands to 6)",home_other,high,dining table is furniture for the home,True,True
External Hard Drives (4TB+),electronics_compute,high,external hard drives are computer storage peripherals,True,True
External Hard Drives (8TB+),electronics_compute,high,external hard drives are computer storage peripherals,True,True
Eyelid Wipes for Demodex Mites,beauty_personal_care,high,eyelid wipes are a personal care/hygiene product for eye cleansing,True,True
Face Wash for Oily Skin,beauty_personal_care,high,face wash is a skincare product,True,True
Facial Moisturizer,beauty_personal_care,high,facial moisturizer is a skincare product,True,True
"Facial Moisturizer for Dry, Acne-Prone Skin",beauty_personal_care,high,facial moisturizer is a skincare product,True,True
Facial Moisturizer for Very Dry/Dehydrated Skin,beauty_personal_care,high,facial moisturizer is a skincare product,True,True
Facial Pore Remover Cream,beauty_personal_care,high,skincare product targeting facial pores,True,False
Fairy Themed Party Favor Toy Sets (30-pack),toys_hobbies,high,party favor toy sets are toy/hobby products,True,False
Fashion Accessories - Leather Wallets,apparel_clothing,medium,leather wallets are fashion accessories closely associated with apparel/personal wear items,True,True
Fitness Smartwatch,electronics_other,high,smartwatch is explicitly listed under electronics_other,True,True
Fitted Baseball Caps,apparel_clothing,high,fitted baseball caps are wearable headwear garments,True,True
Five Spice Powder,food_beverage,high,spice/seasoning is a consumable food product,True,True
Flagship Smartphones,electronics_compute,high,flagship smartphones are high-end mobile phones,True,True
Floor Car Jacks,other,high,automotive lifting equipment not covered by any listed category,True,True
Floor Lamps for Reading,home_other,high,floor lamps are home lighting/decor items,True,True
Floor Reading Lamps,home_other,high,floor lamps are home lighting/decor items,True,True
Free & Clear Laundry Detergent,home_other,high,laundry detergent is a household cleaning product,True,True
French Door Refrigerators with Ice Maker & Water Dispenser,home_kitchen,high,French door refrigerators are major kitchen appliances,True,True
French Press Coffee Maker,home_kitchen,high,French press is a coffee brewing appliance used in the kitchen,True,True
Fresh Dragon Fruit (Per Pound),food_beverage,high,fresh produce sold by weight is a consumable food item,True,True
Frieren: Beyond Journey's End Anime T-Shirts,apparel_clothing,high,anime-themed t-shirts are garments/clothing,True,True
Frozen Sliced Steaks / Sandwich Steaks,food_beverage,high,frozen meat product for consumption,True,True
Full-Size Blenders,home_kitchen,high,blenders are kitchen appliances,True,True
Gaming Chairs,home_other,high,gaming chairs are seating furniture,True,True
Gaming Computer Mouse,electronics_compute,high,gaming mouse is a computer peripheral input device,True,True
Gaming Consoles,electronics_other,high,gaming consoles are gaming hardware,True,True
Gaming Desktop Computer,electronics_compute,high,desktop computer used for gaming is a computing device,True,True
Gaming Desktop PC,electronics_compute,high,desktop PC is a computing device,True,True
Gaming Headphones,electronics_audio,high,gaming headphones are a type of headset/headphone audio device,True,True
Gaming Headset,electronics_audio,high,gaming headset is a headset/headphones product,True,False
Gaming Headsets,electronics_audio,high,gaming headsets are headsets/headphones used for audio,True,True
Gaming Laptop,electronics_compute,high,gaming laptop is a computing device,True,True
Gaming Laptops,electronics_compute,high,gaming laptops are portable computers,True,True
"Gaming Laptops (16""+ Screen, Under $1000)",electronics_compute,high,gaming laptops are portable computers,True,True
Gaming Laptops with RTX 4080 GPU,electronics_compute,high,gaming laptops are portable computers,True,True
Gaming Monitor,electronics_other,high,gaming monitor is display hardware categorized under gaming/electronics,True,True
Garage Steel Side Entry Doors,home_other,high,garage doors are home structural/building products,True,False
Garden Trellis,home_other,high,garden trellis is outdoor home decor/structure,True,True
Gas Slide-In Ranges,home_kitchen,high,gas slide-in ranges are kitchen cooking appliances,True,True
Gas-Powered Rototillers,sports_outdoor,medium,outdoor power equipment used for garden/yard work,True,True
General-Purpose Laptop,electronics_compute,high,laptop is a core computing device,True,True
Ghost Pepper Hot Sauce,food_beverage,high,hot sauce is a consumable food condiment,True,True
Giant Novelty Garden Statues (Stone Skunk),home_other,high,novelty garden statues are outdoor decorative items fitting home decor/garden category,True,True
"Gothic Horror Books (Recent Publications, Physical Copy)",other,high,physical books are not covered by any defined category,True,False
Graphics Cards (GPUs),electronics_compute,high,GPUs are core computing hardware components,True,True
Graphics Cards for Local AI Inference,electronics_compute,high,graphics cards are compute hardware used for AI/ML processing,True,False
Green Sofas / Couches,home_other,high,sofas and couches are furniture items,True,False
Gym Training Sneakers,apparel_footwear,high,sneakers are footwear,True,True
Hair Conditioner,beauty_personal_care,high,hair conditioner is a haircare product,True,True
Hair Dryer,beauty_personal_care,high,hair dryer is a personal care grooming appliance,True,True
Hair Styling Mousse,beauty_personal_care,high,hair styling mousse is a haircare product,True,True
Hair Styling Tools (Blow Dryer & Styler Combos),beauty_personal_care,high,blow dryers and hair styling tools fall under haircare/personal care,True,True
Hand Mixer,home_kitchen,high,hand mixer is a kitchen appliance used for food preparation,True,True
Handheld Cheese Graters,home_kitchen,high,cheese graters are kitchen utensils/cutlery category,True,True
Handheld Gaming Consoles,electronics_other,high,handheld gaming consoles are gaming hardware,True,True
Handheld Gaming Devices,electronics_other,high,handheld gaming devices are gaming hardware,True,True
Handheld Gaming PCs,electronics_other,high,handheld gaming PCs are gaming hardware devices,True,True
Handheld Retro Gaming Consoles,electronics_other,high,handheld gaming consoles are gaming hardware,True,True
Handheld Vacuum,home_other,high,handheld vacuum is a cleaning tool for the home,True,True
Handheld Vacuums,home_other,high,handheld vacuums are cleaning tools for the home,True,True
Hawaiian-Inspired Wall Art,home_other,high,wall art is home decor,True,True
Head Lamp Magnifiers for Miniature Painting,toys_hobbies,high,magnifying headlamp used as a hobby/craft tool for miniature painting,True,True
Head Shaving Razors,beauty_personal_care,high,head shaving razors are personal grooming/shaving tools,True,True
Headphones,electronics_audio,high,headphones are a core audio product,True,True
"High-End 17""+ Laptops for Gaming & CAD/Engineering",electronics_compute,high,large-screen laptops for gaming and professional engineering workloads,True,True
High-End Laptops,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
High-End Noise Cancelling Earbuds,electronics_audio,high,earbuds are audio devices; noise-cancelling is a common audio feature,True,False
High-End Pre-Built Gaming PC,electronics_other,high,pre-built gaming PC is gaming hardware,True,False
High-Performance Blenders,home_kitchen,high,blenders are kitchen appliances,True,True
High-Power Electric Bikes for Trail Commuting,sports_outdoor,high,electric bikes are sporting/outdoor recreational vehicles,True,True
Hiking Boots,apparel_footwear,high,hiking boots are a type of footwear,True,True
Hiking Shoes,apparel_footwear,high,hiking shoes are a type of footwear,True,True
Historical Fiction Books (Ancient Times),other,high,books/literature do not fit any defined product category,True,True
Home Gaming Consoles,electronics_other,high,gaming consoles are gaming hardware,True,True
Home Office Printers,electronics_other,high,printers are office/home electronics not covered by compute peripherals category,True,False
Home Radio,electronics_other,high,home radio is a consumer electronics audio/broadcast device,True,True
Home Speakers,electronics_audio,high,home speakers are audio output devices,True,True
Home Treadmills,sports_outdoor,high,treadmills are fitness/exercise equipment,True,False
Hooded Jackets,apparel_clothing,high,hooded jackets are outerwear garments,True,True
Hoodies,apparel_clothing,high,hoodies are garments/sweatshirts worn as clothing,True,False
Hose Shower Soaker Attachments for Container Gardening,home_kitchen,medium,garden hose and watering attachments are home/garden tools,True,True
Hospital/Nursing Work Shoes,apparel_footwear,high,work shoes specifically for hospital/nursing staff are footwear,True,False
Hot Sauce,food_beverage,high,hot sauce is a consumable condiment,True,True
Hyaluronic Acid Serums,beauty_personal_care,high,hyaluronic acid serums are skincare products,True,True
Ice Cream Maker,home_kitchen,high,ice cream maker is a kitchen appliance,True,True
Ice Cream Makers,home_kitchen,high,ice cream makers are kitchen appliances,True,True
Iced Tea Makers,home_kitchen,high,iced tea makers are kitchen appliances,True,False
Immersion Blender,home_kitchen,high,immersion blender is a kitchen appliance,True,True
In-Ear Headphones,electronics_audio,high,in-ear headphones are earbuds/audio devices,True,True
Individual False Eyelashes,beauty_personal_care,high,false eyelashes are a cosmetic/beauty product,True,True
Indoor Exercise Bikes,sports_outdoor,high,indoor exercise bikes are fitness equipment,True,True
Indoor Volleyballs,sports_outdoor,high,volleyballs are sporting goods equipment,True,True
Instant Ramen Noodles,food_beverage,high,instant ramen noodles are a consumable food product,True,True
Instant-Read Meat Thermometers,home_kitchen,high,kitchen cooking tool for measuring food temperature,True,True
Insulated Travel Mugs with Handle,home_kitchen,high,insulated travel mugs are drinkware/kitchen accessories,True,True
Insulated Water Bottles,sports_outdoor,high,insulated water bottles are common sports and outdoor hydration gear,True,True
Interlocking Deck/Patio Tiles (Outdoor),home_other,high,outdoor patio tiles are home improvement/decor products,True,True
"Internal Solid State Drives (SATA III 2.5"" SSD, 1TB)",electronics_compute,high,internal SSD storage device for computers,True,True
Jordan Retro 1 Sneakers,apparel_footwear,high,Jordan Retro 1 are sneakers/shoes,True,True
Juggling Clubs (Pins) for Intermediate Jugglers,toys_hobbies,high,juggling clubs are hobby/performance props,True,True
Juicers,home_kitchen,high,juicers are kitchen appliances,True,True
Juicers / Blenders for Smoothies,home_kitchen,high,juicers and blenders are kitchen appliances,True,True
K-Cup Coffee Makers,home_kitchen,high,K-Cup coffee makers are kitchen appliances,True,True
Kids Tablets,electronics_compute,high,"tablets are computing devices, even when designed for children",True,True
Kids' Wooden Bookshelf,baby_kids,high,wooden bookshelf designed specifically for children,True,True
King Size Mattress,home_other,high,mattress is bedroom/bedding furniture,True,True
Kitchen Knife Sets,home_kitchen,high,kitchen knife sets are cutlery/cookware items,True,True
Kitchen Pantry Cabinets,home_other,high,pantry cabinets are furniture/storage for the home,True,True
Kitchen Storage Cabinets,home_other,high,kitchen storage cabinets are furniture/home storage items,True,True
Knee Massager,beauty_personal_care,high,personal wellness/therapeutic massager device for body care,True,True
Knee Pillows for Hip Pain Relief,home_other,medium,"sleep/comfort pillow accessory for body support, closest to bedding/home goods",True,True
Knee-Length Sundresses with Pockets,apparel_clothing,high,sundresses are garments/clothing items,True,True
Korean Skincare Facial Mist Sprays,beauty_personal_care,high,facial mist sprays are skincare products,True,True
L-Shaped Cloud Couches,home_other,high,L-shaped cloud couches are furniture items,True,True
L-Shaped Sectional Sofas,home_other,high,sectional sofas are furniture,True,True
LED Therapy Face Masks,beauty_personal_care,high,LED therapy face masks are skincare/beauty devices used for facial treatment,True,True
LEGO Botanical / Nature Building Sets,toys_hobbies,high,LEGO sets are collectible building toys/hobbies,True,True
Laptop,electronics_compute,high,laptop is a core computing device,True,True
Laptop for Studies and Coding,electronics_compute,high,laptop is a core computing device,True,True
Laptops,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops for AI-Assisted Programming,electronics_compute,high,laptops are core computing devices,True,False
Laptops for College (Paralegal Studies),electronics_compute,high,laptops are core computing devices,True,True
Laptops for Content Creators,electronics_compute,high,laptops are core computing devices,True,False
Laptops for Everyday Office Use,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops for Everyday Use & Multitasking (Under $800),electronics_compute,high,laptops are core computing devices,True,False
Laptops for Gaming and Everyday Use,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops for Graphic Design,electronics_compute,high,laptops are computing devices,True,False
Laptops for School,electronics_compute,high,laptops are computing devices,True,False
Laptops for School & Online Business,electronics_compute,high,laptops are core computing devices,True,False
"Laptops for School, Gaming & Creative Tasks",electronics_compute,high,laptops explicitly mentioned,True,True
Laptops for Schoolwork,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
